epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9231,0.85483,2.58954,1.23143,0.89985,0.15244,0.63348,0.45981,0.96776,2.80203,1.38097,0.000410354,0.000410354,0.000410354
2,73.4625,0.95131,1.58296,1.26621,0.60054,0.5981,0.60747,0.39389,1.1693,2.07146,1.61431,0.000818833,0.000818833,0.000818833
3,82.3891,1.01306,1.4808,1.30049,0.7054,0.4945,0.60975,0.38335,1.21404,2.06769,1.66706,0.00121906,0.00121906,0.00121906
4,90.9034,0.98267,1.39799,1.29907,0.48537,0.50025,0.51553,0.3287,1.08034,2.13218,1.50486,0.00121287,0.00121287,0.00121287
5,99.2078,0.96869,1.30378,1.27343,0.69529,0.56818,0.69396,0.48337,1.17083,1.72392,1.65061,0.0012005,0.0012005,0.0012005
6,107.463,0.95028,1.17589,1.27393,0.80355,0.68973,0.81969,0.59007,1.02286,1.4702,1.42624,0.00118812,0.00118812,0.00118812
7,115.62,0.93074,1.10687,1.25593,0.69559,0.67719,0.82228,0.59193,1.12924,1.44396,1.54965,0.00117575,0.00117575,0.00117575
8,123.866,0.93017,1.07643,1.25141,0.7912,0.7286,0.83855,0.61776,0.96649,1.09357,1.38567,0.00116337,0.00116337,0.00116337
9,132.353,0.89355,1.04296,1.23558,0.78518,0.66924,0.77797,0.56235,1.10405,1.49309,1.49462,0.001151,0.001151,0.001151
10,140.42,0.90319,0.99447,1.23751,0.91052,0.77879,0.88363,0.66636,0.91849,0.87251,1.29316,0.00113863,0.00113863,0.00113863
11,148.738,0.88503,0.96458,1.22228,0.79654,0.70378,0.81148,0.59524,0.96418,1.14027,1.32269,0.00112625,0.00112625,0.00112625
12,156.872,0.83915,0.91819,1.19828,0.86112,0.66982,0.79316,0.57032,1.05343,1.52309,1.55006,0.00111388,0.00111388,0.00111388
13,164.92,0.85139,0.90378,1.19538,0.83851,0.82643,0.87873,0.65904,0.8776,0.90046,1.28702,0.0011015,0.0011015,0.0011015
14,172.883,0.82226,0.84321,1.18385,0.74948,0.69775,0.83105,0.62147,0.98463,1.4064,1.43873,0.00108913,0.00108913,0.00108913
15,180.792,0.79185,0.8464,1.16073,0.85975,0.77593,0.88953,0.69004,0.95133,0.90119,1.41806,0.00107675,0.00107675,0.00107675
16,188.876,0.81929,0.82207,1.17319,0.83924,0.78548,0.87402,0.62928,1.05878,0.8619,1.4886,0.00106437,0.00106437,0.00106437
17,196.995,0.84534,0.82285,1.18561,0.88471,0.79918,0.88582,0.67274,1.02507,0.77803,1.48546,0.001052,0.001052,0.001052
18,205.082,0.81062,0.78956,1.16696,0.82754,0.83569,0.90452,0.70769,0.97136,0.73348,1.40446,0.00103962,0.00103962,0.00103962
19,212.963,0.79466,0.80135,1.17138,0.8542,0.75938,0.86877,0.67321,1.05515,1.12822,1.41225,0.00102725,0.00102725,0.00102725
20,221.102,0.80416,0.79981,1.16781,0.77955,0.82017,0.83332,0.63673,1.01031,0.87373,1.51391,0.00101488,0.00101488,0.00101488
21,229.302,0.78535,0.75448,1.15958,0.89343,0.83331,0.9059,0.7089,0.97943,0.69356,1.41415,0.0010025,0.0010025,0.0010025
22,237.526,0.79384,0.77541,1.17112,0.81842,0.80815,0.88688,0.66699,1.03781,0.81637,1.55059,0.000990125,0.000990125,0.000990125
23,245.691,0.75306,0.72302,1.13707,0.85156,0.81286,0.90184,0.69833,0.96405,0.79328,1.41923,0.00097775,0.00097775,0.00097775
24,253.94,0.77732,0.73574,1.14755,0.90378,0.81062,0.91286,0.73353,0.91927,0.77813,1.33765,0.000965375,0.000965375,0.000965375
25,262.26,0.75415,0.69956,1.13551,0.89828,0.83681,0.90533,0.71474,0.92298,0.64678,1.39141,0.000953,0.000953,0.000953
26,270.56,0.75692,0.71503,1.14611,0.85464,0.79118,0.89798,0.6903,0.95195,0.69037,1.39459,0.000940625,0.000940625,0.000940625
27,278.807,0.73341,0.68206,1.12353,0.94691,0.80985,0.9229,0.74985,0.86209,0.65826,1.28106,0.00092825,0.00092825,0.00092825
28,287.082,0.75909,0.69593,1.13399,0.91117,0.83486,0.90854,0.70433,0.94676,0.80586,1.35696,0.000915875,0.000915875,0.000915875
29,295.385,0.71545,0.65698,1.10759,0.92699,0.81721,0.91363,0.72797,0.9705,0.64967,1.5052,0.0009035,0.0009035,0.0009035
30,303.614,0.73295,0.6682,1.12396,0.88086,0.80802,0.88865,0.69947,1.02808,0.71798,1.55575,0.000891125,0.000891125,0.000891125
31,311.911,0.71391,0.65155,1.10658,0.88528,0.84945,0.92103,0.73932,0.97359,0.61846,1.51393,0.00087875,0.00087875,0.00087875
32,320.525,0.71512,0.6473,1.12111,0.90025,0.82103,0.90685,0.73261,0.90867,0.61985,1.38114,0.000866375,0.000866375,0.000866375
33,328.961,0.70316,0.63388,1.10227,0.93264,0.81949,0.91438,0.736,0.98918,0.61954,1.43065,0.000854,0.000854,0.000854
34,337.153,0.69679,0.62012,1.09015,0.91477,0.84316,0.91822,0.72873,0.85037,0.61751,1.3059,0.000841625,0.000841625,0.000841625
35,345.569,0.70556,0.63163,1.09676,0.87715,0.81243,0.88851,0.71019,0.96719,0.71412,1.48357,0.00082925,0.00082925,0.00082925
36,353.623,0.6821,0.61187,1.08852,0.90593,0.84967,0.92695,0.74549,0.74505,0.62415,1.16501,0.000816875,0.000816875,0.000816875
37,361.842,0.70099,0.62643,1.11322,0.90308,0.85241,0.92205,0.73734,0.88628,0.63504,1.32789,0.0008045,0.0008045,0.0008045
38,370.12,0.70407,0.60318,1.09689,0.93465,0.82397,0.93289,0.74786,0.90365,0.62535,1.33786,0.000792125,0.000792125,0.000792125
39,378.326,0.69197,0.60397,1.09329,0.89596,0.85189,0.92147,0.74521,0.96149,0.677,1.46773,0.00077975,0.00077975,0.00077975
40,386.469,0.69208,0.60488,1.09474,0.898,0.83291,0.91691,0.75047,0.87468,0.63853,1.36721,0.000767375,0.000767375,0.000767375
41,394.779,0.66418,0.58715,1.08673,0.90355,0.85911,0.92985,0.7529,0.83118,0.6216,1.35664,0.000755,0.000755,0.000755
42,403.054,0.66018,0.58613,1.08417,0.91921,0.87085,0.92941,0.75433,0.94359,0.59669,1.36474,0.000742625,0.000742625,0.000742625
43,411.172,0.64989,0.56731,1.07367,0.92218,0.88613,0.94674,0.76299,0.88816,0.53798,1.3114,0.00073025,0.00073025,0.00073025
44,419.26,0.66762,0.5752,1.08557,0.90683,0.84112,0.92606,0.75452,0.80471,0.60733,1.26853,0.000717875,0.000717875,0.000717875
45,427.542,0.68442,0.58625,1.09119,0.95114,0.7865,0.93342,0.76174,0.83491,0.56613,1.2699,0.0007055,0.0007055,0.0007055
46,435.765,0.65317,0.55391,1.06267,0.93849,0.87551,0.949,0.76926,0.82959,0.61093,1.33247,0.000693125,0.000693125,0.000693125
47,443.921,0.64133,0.54912,1.06167,0.91064,0.89258,0.94909,0.7779,0.86962,0.54214,1.31944,0.00068075,0.00068075,0.00068075
48,452.256,0.64006,0.54687,1.05991,0.91895,0.88186,0.94307,0.76956,0.87177,0.52989,1.36724,0.000668375,0.000668375,0.000668375
49,460.508,0.64155,0.53891,1.06359,0.91831,0.88416,0.95378,0.78353,0.86666,0.58334,1.351,0.000656,0.000656,0.000656
50,468.774,0.65034,0.54547,1.06833,0.93167,0.87341,0.94132,0.7758,0.86003,0.67439,1.32481,0.000643625,0.000643625,0.000643625
51,476.853,0.62731,0.53126,1.05804,0.92286,0.86843,0.9377,0.76674,0.87871,0.55349,1.4394,0.00063125,0.00063125,0.00063125
52,485.025,0.63649,0.5199,1.06189,0.92406,0.87337,0.93666,0.77222,0.92347,0.56076,1.47989,0.000618875,0.000618875,0.000618875
53,493.278,0.62699,0.51966,1.06118,0.93142,0.85179,0.93305,0.75405,0.84977,0.59044,1.35654,0.0006065,0.0006065,0.0006065
54,501.581,0.62768,0.51561,1.06149,0.92262,0.88933,0.94828,0.78103,0.83688,0.58725,1.28446,0.000594125,0.000594125,0.000594125
55,509.896,0.62236,0.53336,1.04964,0.93513,0.87309,0.95055,0.78384,0.85475,0.53392,1.34268,0.00058175,0.00058175,0.00058175
56,518.047,0.61922,0.51561,1.05384,0.93584,0.88968,0.9483,0.78718,0.8174,0.5886,1.31558,0.000569375,0.000569375,0.000569375
57,526.284,0.59825,0.50507,1.04007,0.93822,0.88578,0.94732,0.79322,0.87853,0.50604,1.36732,0.000557,0.000557,0.000557
58,534.518,0.60924,0.51418,1.04892,0.90902,0.8715,0.93684,0.78288,0.86615,0.53987,1.31638,0.000544625,0.000544625,0.000544625
59,542.683,0.60898,0.49862,1.04134,0.92043,0.8951,0.94252,0.78121,0.85345,0.49593,1.31862,0.00053225,0.00053225,0.00053225
60,551.174,0.60378,0.49173,1.04105,0.93929,0.86809,0.93976,0.78277,0.81143,0.58517,1.27786,0.000519875,0.000519875,0.000519875
61,559.479,0.59556,0.48637,1.03131,0.93879,0.87434,0.94061,0.78905,0.78379,0.53692,1.20751,0.0005075,0.0005075,0.0005075
62,567.9,0.59097,0.47901,1.03594,0.94684,0.88805,0.94386,0.7873,0.85604,0.51957,1.35286,0.000495125,0.000495125,0.000495125
63,576.111,0.59933,0.48684,1.03156,0.92423,0.89087,0.9402,0.78705,0.83696,0.51317,1.34443,0.00048275,0.00048275,0.00048275
64,584.368,0.59023,0.48075,1.03403,0.9292,0.8965,0.95133,0.79652,0.86563,0.50801,1.34262,0.000470375,0.000470375,0.000470375
65,592.61,0.58236,0.47248,1.02847,0.93707,0.87889,0.95068,0.79351,0.79997,0.57003,1.26218,0.000458,0.000458,0.000458
66,606.396,0.58888,0.47599,1.03679,0.93056,0.8662,0.94224,0.79456,0.79898,0.58641,1.29195,0.000445625,0.000445625,0.000445625
67,614.925,0.56987,0.44977,1.02418,0.9109,0.8967,0.94143,0.78702,0.81118,0.49164,1.32207,0.00043325,0.00043325,0.00043325
68,623.123,0.57792,0.45797,1.02502,0.88596,0.89732,0.93389,0.7859,0.79555,0.55032,1.28779,0.000420875,0.000420875,0.000420875
